signal_strength_dbm,latency_ms,throughput_mbps,call_drop_rate,issue_status
-65.57950648857035,48.38940500469612,53.06664398088677,2.394185996435219,0
-110.06119030311623,98.24481585409853,13.638710605761865,5.693074208550385,1
-81.49378489087444,49.19228934575204,64.26654224788842,0.27407863421267065,0
-72.33393906860894,39.22162802987198,60.18135850823133,1.2993400047737034,0
-74.26914607699257,43.257963165821664,77.50000867670461,1.2906255813010252,0
-89.0944646899834,38.62628211600603,65.69004120879912,2.1246810706931907,0
-90.43828267266859,29.289463203509513,80.35295966278017,0.964342139424441,0
-87.6774618004142,36.08351432578209,33.09158869472757,1.295948867936518,0
-116.71179750059306,130.4880584799848,9.759789449981493,8.395173940678397,1
-75.35219567942399,46.73181351269958,73.29876829977175,1.102304824411488,0
-76.45607101584615,35.467515909769865,55.583991408732416,1.6405733604066846,0
-102.88299561250163,153.96597119929973,12.908418287710395,7.205834781046474,1
-83.2695145208537,46.380511014407574,60.48710379288761,1.4473528268875162,0
-105.9925812133219,180.941311639027,21.861249054723174,8.344586816080804,1
-77.83162636694952,50.91310120594269,81.09467071649019,1.7147287407991785,0
-106.97145291129318,118.18577092862651,10.039960514945736,7.41015067846926,1
-112.94041438166755,150.65944843466636,1.5211996465257975,7.612778964146828,1
-87.4679282198685,45.08725023229934,41.79044016592452,0.0,0
-75.69474646522423,50.29960817581161,60.89010377256044,0.0,0
-82.3104936824979,48.33528961608925,52.522666876543326,1.4753987861368316,0
-71.81515742015694,40.6934433703625,61.587856100698886,1.569590247350784,0
-80.38483007955796,46.95537757565778,37.52476629190961,1.996334999141442,0
-79.36774696312425,21.538121377619063,81.02569000541024,1.0671977198569473,0
-104.64447332599404,156.39522358754746,3.558339596920984,5.047199902672405,1
-105.21296914414224,163.91007804124934,11.076568638151874,4.801910496890255,1
-81.61644100666734,33.56450167682538,88.44333152762297,0.6244231317235653,0
-105.60837837633161,150.86495370303467,11.214445169243241,5.56685302315179,1
-116.25246443908827,101.52137132577698,26.984490758519122,8.9514267553385,1
-121.37921824163753,89.62218916387329,16.127597832308567,5.8518348458254605,1
-98.38259930351985,129.37878196679793,14.703678296588329,5.631016538774406,1
-77.41975011685358,44.62060893251896,57.27172409287636,1.532684467516415,0
-76.07380606187566,35.1693894831656,63.59545716891244,1.0718296608137539,0
-103.57282048350389,181.41508124256936,0.5,6.723835330677036,1
-82.75330557721364,45.844129804724844,55.78816152487526,1.2643087252024832,0
-66.11204859995895,45.38296079049633,75.56759809737085,1.0000504689344314,0
-83.38234731682385,11.277377867183507,77.80963964828335,0.8137156256218796,0
-74.17057429427386,33.31855914461006,43.922152297946376,1.5917948323993034,0
-73.64945307890247,40.678555105274036,79.2717391558713,1.9992690560481705,0
-86.23943556275319,71.09918556005361,44.41301678173849,1.135670276823972,0
-79.47771759057098,63.19329539981695,61.53700439232846,1.236598495500847,0
-103.21743889647834,160.98408037556396,10.47628976161659,8.43098619353897,1
-80.3332861933797,29.32467085745727,62.61432184399923,0.8555572287122972,0
-107.97796591165572,96.0768082551496,5.666163061208422,3.1906506130690726,1
-83.67673214290632,42.653623493996285,74.98125235537668,0.9099918336731576,0
-82.09191280644716,22.741932712094034,60.46729119526068,1.0843495285351503,0
